,epochs,training loss,validation loss
0,1,1.7870621383190155,1.8110911846160889
1,2,1.7918258607387543,1.8046756982803345
2,3,1.7819698452949524,1.7985236644744873
3,4,1.776120811700821,1.7923305034637451
4,5,1.7711072266101837,1.7864395380020142
5,6,1.7687435448169708,1.7807122468948364
6,7,1.7620977759361267,1.7751529216766357
7,8,1.7576399445533752,1.769545078277588
8,9,1.7578508257865906,1.763871431350708
9,10,1.7590817511081696,1.7580019235610962
10,11,1.742456465959549,1.752584457397461
11,12,1.737130343914032,1.7473456859588623
12,13,1.7377926111221313,1.7422407865524292
13,14,1.7281193733215332,1.7370680570602417
14,15,1.7255098223686218,1.7320610284805298
15,16,1.7215181589126587,1.7270207405090332
16,17,1.7197841703891754,1.7220361232757568
17,18,1.7119897902011871,1.7173409461975098
18,19,1.7062750458717346,1.7126811742782593
19,20,1.7092375755310059,1.7077314853668213
20,21,1.7010799646377563,1.702877163887024
21,22,1.6925117671489716,1.6981110572814941
22,23,1.6883432567119598,1.6934008598327637
23,24,1.6877568662166595,1.6888031959533691
24,25,1.6871174275875092,1.6839807033538818
25,26,1.682355374097824,1.6790813207626343
26,27,1.6761369705200195,1.6744399070739746
27,28,1.6689079403877258,1.6698975563049316
28,29,1.6693843603134155,1.6651909351348877
29,30,1.665492206811905,1.6605660915374756
30,31,1.6586024761199951,1.655987024307251
31,32,1.6516720056533813,1.6514885425567627
32,33,1.6527840495109558,1.646872639656067
33,34,1.6461394727230072,1.642354965209961
34,35,1.6398360431194305,1.637909173965454
35,36,1.6377237737178802,1.6333366632461548
36,37,1.6332474946975708,1.628922939300537
37,38,1.6288402676582336,1.6242066621780396
38,39,1.6254562437534332,1.6196610927581787
39,40,1.6190448701381683,1.6152195930480957
40,41,1.6166207194328308,1.610804557800293
41,42,1.6137157380580902,1.6063334941864014
42,43,1.6078323423862457,1.6018699407577515
43,44,1.6114926934242249,1.5974183082580566
44,45,1.6014348864555359,1.5928990840911865
45,46,1.5970517992973328,1.5883936882019043
